,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__lambda_reg,param_model__learning_rate,param_model__loss_function,param_model__max_epochs,param_model__optimizer,param_model__optimizer_kw_args,param_model__random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
78,0.6376758416493734,0.029480056173373216,0.003667593002319336,0.0009417296861329927,128,1e-05,0.01,cross_entropy,200,gd,{'friction': 0.5},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 200, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.6296296296296297,0.6060606060606061,0.6868686868686869,0.6408529741863075,0.03393090113991239,50
79,0.5912369092305502,0.0058124893041330864,0.002525488535563151,0.00040993273541890373,128,1e-05,0.01,cross_entropy,200,gd,{'friction': 0},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 200, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.622895622895623,0.6127946127946128,0.5858585858585859,0.6071829405162739,0.01563231007540307,88
80,0.032867987950642906,0.0018141314055869179,0.0031772454579671225,0.001036908510432527,128,1e-05,1e-05,cross_entropy,10,gd,{'friction': 0.9},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.3872053872053872,0.2962962962962963,0.2727272727272727,0.31874298540965207,0.04935720185700568,140
81,0.032398621241251625,0.0010207088436261893,0.006345272064208984,0.004731405439096713,128,1e-05,1e-05,cross_entropy,10,gd,{'friction': 0.99},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.3771043771043771,0.2962962962962963,0.2727272727272727,0.3153759820426487,0.04469653816327695,158
82,0.03488834698994955,0.001678337787748104,0.0023210843404134116,0.000455468700539722,128,1e-05,1e-05,cross_entropy,10,gd,{'friction': 0.5},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.3872053872053872,0.2962962962962963,0.2727272727272727,0.31874298540965207,0.04935720185700568,140
83,0.031559149424235024,0.0008151732707848878,0.0026667118072509766,0.0004722145045116334,128,1e-05,1e-05,cross_entropy,10,gd,{'friction': 0},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.3872053872053872,0.2962962962962963,0.2727272727272727,0.31874298540965207,0.04935720185700568,140
84,0.14599005381266275,0.002749708290918976,0.0021766026814778647,0.00024275276073372305,128,1e-05,1e-05,cross_entropy,50,gd,{'friction': 0.9},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.38047138047138046,0.2962962962962963,0.26936026936026936,0.31537598204264866,0.04732473320383393,159
85,0.15580503145853677,0.014757597832135398,0.0021742979685465493,0.0002482177749407255,128,1e-05,1e-05,cross_entropy,50,gd,{'friction': 0.99},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.4983164983164983,0.45791245791245794,0.4781144781144781,0.47811447811447816,0.016494880422782337,118
86,0.15886767705281576,0.008145503926425992,0.0024930636088053384,0.00043401849517347746,128,1e-05,1e-05,cross_entropy,50,gd,{'friction': 0.5},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.38047138047138046,0.2962962962962963,0.2727272727272727,0.31649831649831645,0.04624780646023909,148
87,0.15789111455281576,0.007998206029145274,0.0029997825622558594,5.571041796468698e-06,128,1e-05,1e-05,cross_entropy,50,gd,{'friction': 0},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.3872053872053872,0.2962962962962963,0.2727272727272727,0.31874298540965207,0.04935720185700568,140
