,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__lambda_reg,param_model__learning_rate,param_model__max_epochs,param_model__optimizer,param_model__optimizer_kw_args,param_model__random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
29,2.506124178568522,0.20182867869574067,0.00869901974995931,0.0008224914444857736,64,1e-05,0.01,50,gd,{'friction': 0.99},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.9131886477462438,0.9165275459098498,0.8914858096828047,0.9070673344462993,0.011101801526577639,39
30,2.565109968185425,0.2298627433435028,0.007682641347249349,0.00022551476668265875,64,1e-05,0.01,50,gd,{'friction': 0.5},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.8914858096828047,0.9081803005008348,0.8898163606010017,0.8964941569282137,0.008291410364914509,46
31,2.754030466079712,0.2685977411938396,0.008852084477742514,0.0012470474201275253,64,1e-05,0.01,50,gd,{'friction': 0},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.8781302170283807,0.8831385642737897,0.8831385642737897,0.8814691151919867,0.002360957533177111,51
32,5.308622678120931,0.2023614782608914,0.007846196492513021,0.0004730203112131239,64,1e-05,0.01,100,gd,{'friction': 0.9},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.9148580968280468,0.9365609348914858,0.9198664440734557,0.9237618252643295,0.009278426266295542,26
33,4.991196235020955,0.2685653986984195,0.008346319198608398,0.0002442833084901913,64,1e-05,0.01,100,gd,{'friction': 0.99},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.9215358931552587,0.8881469115191987,0.8914858096828047,0.9003895381190873,0.01501473295852202,41
34,5.018564701080322,0.21605768279078025,0.008162339528401693,0.00025340237547474636,64,1e-05,0.01,100,gd,{'friction': 0.5},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.9081803005008348,0.9181969949916527,0.9081803005008348,0.9115191986644408,0.004721915066354222,35
35,5.336698134740193,0.07988854956566463,0.008820931116739908,0.001195658522300987,64,1e-05,0.01,100,gd,{'friction': 0},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.8914858096828047,0.9081803005008348,0.8914858096828047,0.8970506399554813,0.007869858443923754,45
36,0.611337423324585,0.05627961672560004,0.009213447570800781,0.001686201957115519,64,1e-05,1e-05,10,gd,{'friction': 0.9},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.18030050083472454,0.18196994991652754,0.19031719532554256,0.18419588202559822,0.004381751738459545,115
37,0.5063485304514567,0.020301356501650956,0.009184757868448893,0.0017007033512232875,64,1e-05,1e-05,10,gd,{'friction': 0.99},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.2303839732888147,0.2303839732888147,0.25542570951585974,0.23873121869782973,0.011804787665885594,95
38,0.5233825842539469,0.020019588632575785,0.009691874186197916,0.0008501397722195265,64,1e-05,1e-05,10,gd,{'friction': 0.5},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.1686143572621035,0.17696160267111852,0.17362270450751252,0.17306622148024484,0.0034303917657033797,122
39,0.6074897448221842,0.04118308173299121,0.016707897186279297,0.011915629758799931,64,1e-05,1e-05,10,gd,{'friction': 0},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.1686143572621035,0.17696160267111852,0.17028380634390652,0.1719532554257095,0.003606422202786783,124
